Nom;Prénom;Date d'ajout;Sport;Date de naissance ;Age;Club;Ville;Instagram;Nombre d'abonnés;Nombre de post;Post 3 derniers mois;Nombre de points;Niveau Barème;Info en bio;Autres informations;Nationalité ;Priorité
VILLEMINOT;Kyllian;03/03/2026;Handball;20/05/1998;27 ans, 10 mois;Montpellier Handball;Montpellier;kyllian.villeminot;11000;136;3;;5;Sponso Décathlon;International;Français;1
MOULARE;Assemian;17/02/2026;Basket;21/01/2003;23 ans, 2 mois;Bourg-en-Bresse Basket;Bourg-en-Bresse;assemianmoulare;10400;28;3;;5;;Internationnal;Ivoirien;1
GACH;Both;17/02/2026;Basket;04/02/1999;27 ans, 1 mois;Bourg-en-Bresse Basket;Bourg-en-Bresse;lankyboy11;10000;33;4;;5;;Internationnal;Soudanais;1
VANHOUTTE;Charles;02/03/2026;Foot;16/09/1998;27 ans, 6 mois;OGC Nice;Nice;charlesvanhoutte;9132;79;4;;5;;International;Belge;1
LOUCHET;Tom;02/03/2026;Foot;04/05/2003;22 ans, 10 mois;OGC Nice;Nice;tom_louchet;9091;33;4;;5;;;Français;1
SAFRONOVA;Liza;07/03/2026;Volley;17/01/2006;20 ans, 2 mois;Volero Le Cannet;Cannes;safronova_liza_;53000;65;9;;4,5;;Internationale / Sponsor Adidas;Turque;1
BAH;Juma;02/03/2026;Foot;11/04/2006;19 ans, 11 mois;OGC Nice;Nice;abduaijuma28;28000;66;5;;4,5;;International;Sierra-Leonne;1
MAWISSA;Christian;02/03/2026;Foot;18/04/2005;20 ans, 11 mois;ASM Monaco;Monaco;christian_mawissa;24000;52;3;68;4,5;;;Franco-congolais;1
MCGHEE;Darius;17/02/2026;Basket;02/06/1999;26 ans, 9 mois;Bourg-en-Bresse Basket;Bourg-en-Bresse;d.mcghee2;22000;292;19;;4,5;;chaîne twitch / international ;Arménien;1
PEPRAH OPPONG;Kojo;02/03/2026;Foot;04/06/2004;21 ans, 9 mois;OGC Nice;Nice;dojo_peprah_oppong;13000;46;5;;4,5;uksportmanagement;International;Ghanéen;1
POPULINI;Alessia;07/03/2026;Volley;10/09/2000;25 ans, 6 mois;Cannes Volley Ball;Cannes;alessia_popu;10000;97;5;;4,5;;;Italienne;1
BOLZINGER;Charles;03/03/2026;Handball;14/12/2000;25 ans, 3 mois;Montpellier Handball;Montpellier;charles.bolzinger;9603;67;8;;4,5;Sponso Adidas;International;Français;1
KOKILA;Kevin;17/02/2026;Basket;03/09/2001;24 ans, 6 mois;Bourg-en-Bresse Basket;Bourg-en-Bresse;kevin_kokila;6116;17;7;;4,5;;Internationnal;Angolais;1
GAJIC;Aleksandra;11/02/2026;Foot;31/08/2006;19 ans, 6 mois;ASSE;Saint-Etienne;aleksandragajic;1895;6;4;;4,5;;International Serbe / Golden ball serbe;Serbe;1
